sex,length,diameter,height,wholeWeight
M,0.455,0.365,0.095,0.514
M,0.35,0.265,0.09,0.2255
F,0.53,0.42,0.135,0.677
M,0.44,0.365,0.125,0.516
I,0.33,0.255,0.08,0.205
I,0.425,0.3,0.095,0.3515
F,0.53,0.415,0.15,0.7775
F,0.545,0.425,0.125,0.768
M,0.475,0.37,0.125,0.5095
F,0.55,0.44,0.15,0.8945
F,0.525,0.38,0.14,0.6065
M,0.43,0.35,0.11,0.406
M,0.49,0.38,0.135,0.5415
F,0.535,0.405,0.145,0.6845
F,0.47,0.355,0.1,0.4755
M,0.5,0.4,0.13,0.6645
I,0.355,0.28,0.085,0.2905
F,0.44,0.34,0.1,0.451
M,0.365,0.295,0.08,0.2555
M,0.45,0.32,0.1,0.381
M,0.355,0.28,0.095,0.2455
I,0.38,0.275,0.1,0.2255
F,0.565,0.44,0.155,0.9395
F,0.55,0.415,0.135,0.7635
F,0.615,0.48,0.165,11.615
F,0.56,0.44,0.14,0.9285
F,0.58,0.45,0.185,0.9955
M,0.59,0.445,0.14,0.931
M,0.605,0.475,0.18,0.9365
M,0.575,0.425,0.14,0.8635
M,0.58,0.47,0.165,0.9975
F,0.68,0.56,0.165,1.639
M,0.665,0.525,0.165,1.338
F,0.68,0.55,0.175,1.798
F,0.705,0.55,0.2,17.095
M,0.465,0.355,0.105,0.4795
F,0.54,0.475,0.155,1.217
F,0.45,0.355,0.105,0.5225
F,0.575,0.445,0.135,0.883
M,0.355,0.29,0.09,0.3275
F,0.45,0.335,0.105,0.425
F,0.55,0.425,0.135,0.8515
I,0.24,0.175,0.045,0.07
I,0.205,0.15,0.055,0.042
I,0.21,0.15,0.05,0.042
I,0.39,0.295,0.095,0.203
M,0.47,0.37,0.12,0.5795
F,0.46,0.375,0.12,0.4605
I,0.325,0.245,0.07,0.161
F,0.525,0.425,0.16,0.8355
I,0.52,0.41,0.12,0.595
M,0.4,0.32,0.095,0.303
M,0.485,0.36,0.13,0.5415
F,0.47,0.36,0.12,0.4775
M,0.405,0.31,0.1,0.385
F,0.5,0.4,0.14,0.6615
M,0.445,0.35,0.12,0.4425
M,0.47,0.385,0.135,0.5895
I,0.245,0.19,0.06,0.086
F,0.505,0.4,0.125,0.583
M,0.45,0.345,0.105,0.4115
M,0.505,0.405,0.11,0.625
F,0.53,0.41,0.13,0.6965
M,0.425,0.325,0.095,0.3785
M,0.52,0.4,0.12,0.58
M,0.475,0.355,0.12,0.48
F,0.565,0.44,0.16,0.915
F,0.595,0.495,0.185,1.285
F,0.475,0.39,0.12,0.5305
I,0.31,0.235,0.07,0.151
M,0.555,0.425,0.13,0.7665
F,0.4,0.32,0.11,0.353
F,0.595,0.475,0.17,1.247
M,0.57,0.48,0.175,1.185
F,0.605,0.45,0.195,1.098
F,0.6,0.475,0.15,10.075
M,0.595,0.475,0.14,0.944
F,0.6,0.47,0.15,0.922
F,0.555,0.425,0.14,0.788
F,0.615,0.475,0.17,11.025
F,0.575,0.445,0.14,0.941
M,0.62,0.51,0.175,1.615
F,0.52,0.425,0.165,0.9885
M,0.595,0.475,0.16,13.175
M,0.58,0.45,0.14,1.013
F,0.57,0.465,0.18,1.295
M,0.625,0.465,0.14,1.195
M,0.56,0.44,0.16,0.8645
F,0.46,0.355,0.13,0.517
F,0.575,0.45,0.16,0.9775
M,0.565,0.425,0.135,0.8115
M,0.555,0.44,0.15,0.755
M,0.595,0.465,0.175,1.115
F,0.625,0.495,0.165,1.262
M,0.695,0.56,0.19,1.494
M,0.665,0.535,0.195,1.606
M,0.535,0.435,0.15,0.725
M,0.47,0.375,0.13,0.523
M,0.47,0.37,0.13,0.5225
F,0.475,0.375,0.125,0.5785
I,0.36,0.265,0.095,0.2315
M,0.55,0.435,0.145,0.843
M,0.53,0.435,0.16,0.883
M,0.53,0.415,0.14,0.724
M,0.605,0.47,0.16,11.735
F,0.52,0.41,0.155,0.727
F,0.545,0.43,0.165,0.802
F,0.5,0.4,0.125,0.6675
F,0.51,0.39,0.135,0.6335
F,0.435,0.395,0.105,0.3635
M,0.495,0.395,0.125,0.5415
M,0.465,0.36,0.105,0.431
I,0.435,0.32,0.08,0.3325
M,0.425,0.35,0.105,0.393
F,0.545,0.41,0.125,0.6935
F,0.53,0.415,0.115,0.5915
F,0.49,0.375,0.135,0.6125
M,0.44,0.34,0.105,0.402
F,0.56,0.43,0.15,0.8825
M,0.405,0.305,0.085,0.2605
F,0.47,0.365,0.105,0.4205
I,0.385,0.295,0.085,0.2535
F,0.515,0.425,0.14,0.766
M,0.37,0.265,0.075,0.214
I,0.36,0.28,0.08,0.1755
I,0.27,0.195,0.06,0.073
I,0.375,0.275,0.09,0.238
I,0.385,0.29,0.085,0.2505
M,0.7,0.535,0.16,17.255
M,0.71,0.54,0.165,1.959
M,0.595,0.48,0.165,1.262
F,0.44,0.35,0.125,0.4035
F,0.325,0.26,0.09,0.1915
I,0.35,0.26,0.095,0.211
I,0.265,0.2,0.065,0.0975
F,0.425,0.33,0.115,0.406
F,0.305,0.23,0.08,0.156
M,0.345,0.255,0.09,0.2005
F,0.405,0.325,0.11,0.3555
M,0.375,0.285,0.095,0.253
F,0.565,0.445,0.155,0.826
F,0.55,0.45,0.145,0.741
M,0.65,0.52,0.19,13.445
M,0.56,0.455,0.155,0.797
M,0.475,0.375,0.13,0.5175
F,0.49,0.38,0.125,0.549
M,0.46,0.35,0.12,0.515
I,0.28,0.205,0.08,0.127
I,0.175,0.13,0.055,0.0315
I,0.17,0.13,0.095,0.03
M,0.59,0.475,0.145,1.053
F,0.605,0.5,0.185,11.185
F,0.635,0.515,0.19,13.715
F,0.605,0.485,0.16,10.565
F,0.565,0.45,0.135,0.9885
M,0.515,0.405,0.13,0.722
F,0.575,0.46,0.19,0.994
M,0.645,0.485,0.215,1.514
F,0.58,0.455,0.17,0.9075
F,0.575,0.46,0.165,1.124
M,0.605,0.465,0.165,1.056
F,0.605,0.485,0.16,1.222
M,0.61,0.485,0.175,12.445
F,0.725,0.56,0.21,2.141
F,0.65,0.545,0.23,1.752
M,0.725,0.57,0.19,2.55
F,0.725,0.575,0.175,2.124
F,0.68,0.57,0.205,1.842
M,0.705,0.56,0.22,1.981
F,0.68,0.515,0.175,16.185
M,0.695,0.55,0.215,19.565
F,0.53,0.395,0.145,0.775
M,0.525,0.435,0.155,1.065
F,0.52,0.405,0.115,0.776
I,0.235,0.16,0.04,0.048
I,0.36,0.26,0.09,0.1785
I,0.315,0.21,0.06,0.125
I,0.315,0.245,0.085,0.1435
I,0.225,0.16,0.045,0.0465
M,0.58,0.475,0.15,0.97
M,0.57,0.48,0.18,0.9395
