COL2(Integer),COL4(String),COL5(Integer),COL6(String)
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB1
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB2
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,H,6156,HB3
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,C
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CA
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,C,6154,CB
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,H
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,H,6156,HA
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,N,6153,N
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
856,O,6155,O
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,1H
419,H,3978,HA2
883,H,6289,HA2
882,H,6284,HA2
419,H,3978,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
419,H,3978,HA2
883,H,6289,HA2
419,H,3978,HA2
