COL2(Integer),COL4(String),COL5(Integer),COL6(String),COL7(Integer),COL8(Integer),COL9(String)
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB1,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB2,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,H,6156,HB3,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,C,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CA,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,C,6154,CB,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,H,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,H,6156,HA,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,N,6153,N,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
856,O,6155,O,7,257072,ALA
419,H,3978,1H,1,147438,GLY
