RHS,ID,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,TYPE
ID,1.0,?,0.0,15.0,?,?,0.4,?,?,?,2.0,?,?
ID,1.0,?,1.0,?,?,10.0,0.4,?,?,?,2.0,?,2.0
ID,1.0,?,2.0,?,?,0.0,0.4,?,?,?,2.0,?,2.0
ID,1.0,?,0.0,?,?,150.0,0.4,?,?,?,2.0,?,2.0
ID,1.0,?,1.0,?,1.0,10.0,0.4,0.0,?,?,2.0,?,?
ID,1.0,?,1.0,?,?,10.0,0.4,?,?,?,2.0,0.0,?
ID,1.0,?,2.0,?,?,0.0,0.4,?,?,?,2.0,0.0,?
ID,1.0,?,0.0,?,?,630.0,0.4,?,?,?,2.0,0.0,?
ID,1.0,?,1.0,?,?,0.0,0.4,?,?,?,2.0,1.0,?
ID,1.0,?,2.0,?,1.0,0.0,?,0.0,?,?,2.0,?,?
ID,1.0,?,0.0,?,1.0,70.0,?,0.0,?,?,2.0,?,?
ID,1.0,?,0.0,?,1.0,150.0,0.4,?,?,?,2.0,?,2.0
ID,1.0,?,0.0,7.0,?,?,0.4,?,?,?,?,?,?
ID,1.0,?,0.0,31.0,?,630.0,?,?,?,?,2.0,?,2.0
ID,1.0,?,2.0,31.0,?,0.0,?,?,?,?,2.0,?,2.0
ID,1.0,?,1.0,31.0,?,10.0,?,?,?,?,2.0,?,2.0
ID,1.0,?,0.0,31.0,1.0,310.0,?,?,0.0,?,2.0,?,?
ID,1.0,?,2.0,7.0,?,10.0,0.4,?,?,?,?,?,?
ID,1.0,?,1.0,?,1.0,10.0,?,?,?,2.0,2.0,1.0,?
ID,1.0,?,1.0,?,1.0,10.0,?,?,?,?,2.0,?,2.0
ID,1.0,?,2.0,?,1.0,0.0,?,?,?,?,2.0,?,2.0
ID,1.0,?,0.0,?,1.0,70.0,?,?,?,?,2.0,?,2.0
ID,1.0,?,0.0,15.0,?,?,?,?,?,?,2.0,?,2.0
ID,1.0,?,1.0,?,1.0,0.0,?,?,?,?,2.0,?,?
ID,1.0,?,2.0,?,1.0,0.0,?,?,?,2.0,2.0,?,?
ID,1.0,?,0.0,?,1.0,70.0,?,?,?,2.0,2.0,?,?
ID,1.0,?,1.0,?,1.0,10.0,?,0.0,?,?,2.0,1.0,?
ID,1.0,?,0.0,7.0,?,?,?,?,?,?,?,?,2.0
ID,1.0,?,1.0,?,1.0,10.0,?,?,?,?,2.0,0.0,?
ID,1.0,?,2.0,?,1.0,0.0,?,?,?,?,2.0,0.0,?
ID,1.0,?,0.0,?,1.0,70.0,?,?,?,?,2.0,0.0,?
ID,1.0,?,0.0,31.0,?,630.0,?,?,0.0,?,2.0,0.0,?
ID,1.0,?,1.0,31.0,?,10.0,0.4,?,?,?,2.0,1.0,?
ID,1.0,?,0.0,7.0,1.0,?,?,?,?,?,?,?,?
ID,1.0,?,1.0,?,?,10.0,0.4,0.0,?,?,2.0,?,?
ID,1.0,?,2.0,?,?,0.0,0.4,0.0,?,?,2.0,?,?
ID,1.0,?,0.0,?,?,630.0,0.4,0.0,?,?,2.0,?,?
ID,1.0,?,2.0,7.0,1.0,10.0,?,?,?,?,?,?,?
ID,1.0,?,2.0,31.0,?,0.0,?,0.0,?,?,2.0,?,?
ID,1.0,?,1.0,31.0,?,10.0,?,0.0,?,?,2.0,?,?
ID,1.0,?,0.0,?,?,0.0,0.4,?,?,?,2.0,?,?
ID,1.0,?,0.0,7.0,?,?,?,0.0,0.0,?,?,?,?
ID,1.0,?,1.0,?,1.0,10.0,0.4,?,?,2.0,2.0,?,?
ID,1.0,?,0.0,?,1.0,150.0,0.4,?,?,2.0,2.0,?,?
ID,1.0,?,0.0,31.0,1.0,310.0,?,?,?,?,2.0,1.0,?
ID,1.0,?,0.0,31.0,1.0,630.0,?,?,?,?,2.0,0.0,?
ID,1.0,?,0.0,?,?,630.0,0.4,?,?,2.0,2.0,1.0,?
ID,1.0,?,1.0,31.0,1.0,10.0,?,?,?,?,2.0,?,?
ID,1.0,?,0.0,7.0,?,?,?,?,0.0,?,?,0.0,?
ID,1.0,?,0.0,?,?,630.0,0.4,?,?,2.0,2.0,?,2.0
ID,1.0,?,2.0,15.0,?,0.0,?,?,?,?,2.0,?,?
ID,1.0,?,1.0,15.0,?,10.0,?,?,?,?,2.0,?,?
ID,1.0,?,2.0,7.0,?,10.0,?,?,?,?,2.0,?,?
ID,1.0,?,0.0,7.0,?,?,?,?,0.0,2.0,?,?,?
ID,1.0,?,0.0,15.0,1.0,?,?,?,?,?,2.0,?,?
ID,1.0,?,1.0,31.0,?,10.0,?,?,?,?,2.0,1.0,?
ID,1.0,?,2.0,31.0,?,0.0,?,?,?,?,2.0,0.0,?
ID,1.0,?,2.0,6.0,?,10.0,?,?,?,?,?,?,?
ID,1.0,?,1.0,?,1.0,10.0,?,0.0,?,?,2.0,?,2.0
ID,1.0,?,2.0,7.0,?,10.0,?,?,?,2.0,?,?,?
ID,1.0,?,0.0,?,?,630.0,0.4,?,0.0,2.0,2.0,?,?
ID,1.0,?,0.0,31.0,?,310.0,?,0.0,0.0,?,2.0,?,?
ID,1.0,?,0.0,31.0,?,630.0,0.4,?,?,?,2.0,?,?
ID,1.0,?,1.0,?,1.0,10.0,?,?,?,2.0,2.0,?,2.0
ID,1.0,?,0.0,31.0,?,310.0,?,?,0.0,?,2.0,?,?
ID,1.0,?,0.0,?,?,630.0,0.4,?,?,?,2.0,1.0,2.0
ID,1.0,?,0.0,15.0,?,?,?,?,0.0,?,2.0,?,?
ID,1.0,?,2.0,7.0,?,10.0,?,?,?,?,?,?,2.0
ID,1.0,?,1.0,?,?,10.0,0.4,?,?,2.0,2.0,?,?
ID,1.0,?,2.0,?,?,0.0,0.4,?,?,2.0,2.0,?,?
ID,1.0,?,0.0,?,?,150.0,0.4,?,?,2.0,2.0,?,?
ID,1.0,?,?,3.0,?,10.0,?,?,?,?,?,?,?
ID,1.0,?,0.0,31.0,1.0,310.0,?,0.0,?,?,2.0,?,?
ID,1.0,?,2.0,31.0,?,0.0,?,?,?,2.0,2.0,?,?
ID,1.0,?,1.0,31.0,?,10.0,?,?,?,2.0,2.0,?,?
ID,0.0,?,0.0,7.0,?,?,0.4,?,?,?,2.0,?,?
ID,0.0,?,0.0,7.0,?,?,?,?,0.0,?,2.0,?,?
ID,0.0,?,0.0,4.0,?,?,?,0.0,0.0,?,?,?,?
ID,0.0,?,0.0,7.0,?,630.0,?,?,0.0,?,?,0.0,?
ID,0.0,?,0.0,7.0,?,?,0.4,?,?,?,?,?,2.0
ID,0.0,?,0.0,7.0,1.0,?,?,?,?,2.0,?,?,?
ID,0.0,?,0.0,6.0,?,?,0.4,?,?,?,?,?,?
ID,0.0,?,?,1.0,?,10.0,?,0.0,?,?,?,?,?
ID,0.0,?,0.0,7.0,?,630.0,?,?,0.0,2.0,?,?,?
ID,0.0,?,0.0,7.0,?,630.0,0.4,?,?,?,?,?,?
ID,0.0,?,1.0,7.0,?,10.0,0.4,?,?,?,?,?,?
ID,0.0,?,0.0,4.0,?,?,?,?,0.0,?,?,0.0,?
ID,0.0,?,1.0,6.0,?,10.0,?,?,?,?,2.0,?,?
ID,0.0,?,0.0,4.0,?,?,?,?,0.0,2.0,?,?,?
ID,0.0,?,0.0,7.0,1.0,?,?,?,?,?,2.0,?,?
ID,0.0,3.0,?,1.0,?,10.0,?,?,?,?,?,?,?
ID,0.0,?,0.0,7.0,?,630.0,?,0.0,0.0,?,?,?,?
ID,0.0,?,0.0,7.0,?,?,0.4,?,?,2.0,?,?,?
ID,0.0,?,0.0,7.0,?,?,?,?,?,?,2.0,?,2.0
ID,0.0,?,1.0,7.0,?,10.0,?,?,?,2.0,?,?,?
ID,0.0,?,?,1.0,?,10.0,?,?,?,?,?,?,2.0
ID,0.0,?,0.0,1.0,?,?,?,?,0.0,?,?,?,?
ID,0.0,?,0.0,4.0,?,?,?,?,?,?,?,?,2.0
ID,0.0,?,6.0,1.0,?,10.0,?,?,?,?,?,?,?
ID,0.0,?,1.0,6.0,?,0.0,?,?,?,?,?,?,?
ID,0.0,?,1.0,3.0,?,10.0,?,?,?,?,?,?,?
ID,0.0,?,0.0,1.0,?,150.0,?,?,?,?,?,?,?
ID,0.0,3.0,1.0,3.0,?,10.0,?,?,?,?,?,?,?
ID,0.0,3.0,0.0,1.0,?,150.0,?,?,?,?,?,?,?
ID,0.0,?,0.0,7.0,1.0,?,?,?,?,?,?,?,2.0
ID,0.0,?,0.0,6.0,1.0,?,?,?,?,?,?,?,?
ID,0.0,?,0.0,7.0,?,630.0,?,?,?,?,?,?,2.0
ID,0.0,?,1.0,7.0,?,10.0,?,?,?,?,?,?,2.0
ID,0.0,?,?,0.0,?,10.0,?,?,?,?,?,?,?
ID,0.0,?,?,1.0,?,0.0,?,?,?,?,?,?,?
ID,0.0,?,0.0,7.0,1.0,630.0,?,?,?,?,?,?,?
ID,0.0,?,1.0,7.0,1.0,10.0,?,?,?,?,?,?,?
ID,0.0,?,?,1.0,?,10.0,?,?,?,?,?,1.0,?
RIVER,?,2.0,?,0.0,?,70.0,?,?,?,?,2.0,?,?
RIVER,1.0,2.0,?,31.0,1.0,60.0,?,?,1.0,2.0,2.0,1.0,?
RIVER,?,2.0,?,?,1.0,30.0,?,?,?,2.0,2.0,?,2.0
RIVER,?,2.0,?,15.0,?,60.0,0.4,?,?,2.0,2.0,0.0,?
RIVER,1.0,2.0,?,7.0,1.0,150.0,?,0.0,?,2.0,2.0,?,2.0
RIVER,?,2.0,?,3.0,1.0,630.0,0.4,?,?,?,?,1.0,2.0
RIVER,?,2.0,?,0.0,?,150.0,?,?,?,2.0,?,1.0,?
RIVER,?,2.0,?,1.0,?,70.0,?,?,?,2.0,?,1.0,?
RIVER,1.0,2.0,?,31.0,?,50.0,?,1.0,1.0,2.0,2.0,0.0,?
RIVER,1.0,2.0,?,0.0,1.0,?,?,?,0.0,?,2.0,1.0,?
RIVER,1.0,2.0,?,7.0,1.0,60.0,?,?,?,?,2.0,1.0,?
RIVER,1.0,2.0,?,0.0,1.0,?,0.4,?,?,?,2.0,1.0,?
RIVER,1.0,2.0,?,?,1.0,150.0,?,0.0,1.0,2.0,2.0,?,2.0
RIVER,?,2.0,?,5.0,1.0,60.0,?,?,?,?,?,0.0,?
RIVER,1.0,2.0,?,7.0,1.0,60.0,?,?,?,?,?,0.0,?
RIVER,1.0,2.0,?,1.0,1.0,310.0,?,0.0,?,2.0,?,1.0,?
RIVER,?,2.0,?,15.0,1.0,30.0,0.4,0.0,?,?,?,0.0,?
RIVER,1.0,2.0,?,31.0,1.0,60.0,0.4,?,?,2.0,2.0,1.0,?
RIVER,?,2.0,?,31.0,1.0,70.0,?,?,1.0,?,2.0,?,2.0
RIVER,1.0,2.0,?,31.0,1.0,50.0,?,?,1.0,2.0,?,0.0,?
