address,authors,authors_original,booktitle,date,editor,editors_original,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o ,, 1994 ,,,1,,andersson j appl phys ,,,893 ,,,inganas and m r ,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,2,,j appl phys ,,,893 ,,,,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,3,,j appl phys ,,,893 ,,,,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,4,,j appl phys ,,,893 ,,,,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,5,,j appl phys ,,,893 ,,,,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,6,,j appl phys ,,,893 ,,,,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,7,,j appl phys ,,,893 ,,,,,76,
,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ,, 1994 ,,,8,,journal of applied physics ,,,893 ,,,,,76,
new york ,c ray asfahl ,c ray asfahl ,,1992 ,,,9,,,,second edition ,,john wiley and sons ,,robots and manufacturing automation ,,,
milan ,steve benford and lennart e fahlen ,steve benford and lennart e fahlen ,in proceedings of ecscw 93 ,1993 ,,,10,,,,,,,,a spatial model of interaction in large virtual environments ,,,
stockholm ,benford s and fahln l ,benford s and fahln l ,6th ercim workshop ,june 1994 ,,,11,,,,,,,,viewpoints actionpoints and spatial frames for collaborative user interfaces ,,,
denver colorado usa ,benford s bowers j fahln l greenhalgh c and snowdon d ,benford s bowers j fahln l greenhalgh c and snowdon d ,in proc acm conference on human factors in computing systems chi95 ,may 7 11 1995 ,,,12,,,,,,,,user embodiment in collaborative virtual environments ,,,
,benford s bowers j fahlen l e greenhalgh c snowdon d ,benford s bowers j fahlen l e greenhalgh c snowdon d ,in proceedings of chi95 , 1995 ,,,13,,,,,242 249 ,,,user embodiment in collaborative virtual environments ,,,
,benford s bowers j fahlen l e greenhalgh c snowdon d ,benford s bowers j fahlen l e greenhalgh c snowdon d ,in proceedings of chi95 ,,,,14,,,,,,,,user embodiment in collaborative virtual environments ,,242 249 ,
,steve benford john bowers lennart fahlen chris greenhalg john mariani and tom rodden ,steve benford john bowers lennart fahlen chris greenhalg john mariani and tom rodden ,,1995 ,,,15,,presence ,,,364 386 ,,,networked virtual realitty and cooperative work ,,4 4 ,
paderborn germany ,brown d f moura h watt d a ,brown d f moura h watt d a , proceedings of the international workshop on compiler construction cc 92 , 1992b ,in u kas tens p pfahler eds ,,16,,,,vol 641 of lecture notes in computer science ,pp 95 109 ,springer verlag ,,actress an action semantics directed compiler generator ,,,
paderborn germany ,brown d f moura h watt d a ,brown d f moura h watt d a , proceedings of the international workshop on compiler construction cc 92 , 1992b ,in u kas tens p pfahler eds ,,17,,,,vol 641 of lecture notes in computer science ,pp 95 109 ,springer verlag ,,actress an action semantics directed compiler generator ,,,
