col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
Moss, E., Cavazos, J., Stefanovic, D., Utgoff, P., Precup, D., Scheeff, D.,       & Brodley," C.     	Learning Policies for Local Instruction Scheduling.	?"
R.C. Yee, S. Saxena, P.E. Utgoff," and A.G. Barto.	Explaining temporal differences to create useful concepts for evaluating states.	?","	pages 882-888","	?","	?","	?","	Cambridge", MA,"	?","	In Proceedings of the Eighth National Conference on Artificial Intelligence","     	?","	?"
R.C. Yee, S. Saxena, P.E. Utgoff," and A.G. Barto.	Explaining temporal differences to create useful concepts for evaluating states.	?","	pages 882-888","	?","	?","	?","	Cambridge", MA,"	?","	In Proceedings of the Eighth National Conference on Artificial Intelligence","     	?","	?"
Kibler, D. & Langley," P.	Machine learning as an experimental science","	?","	pp. 81-92.	?","	?","	Pitman Publishing", London, UK,"	?","	?","	""in -""Proceedings of the Third European Working Session on Learning-""","     ""	?","	?"
Kibler, D. & Langley," P.	Machine learning as an experimental science","	?","	pp. 81-92.	?","	?","	Pitman Publishing", London, UK,"	?","	?","	""in -""Proceedings of the Third European Working Session on Learning-""","     ""	?","	?"
Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E.     Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G.     DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters,"     and Jon L White.   	?","	?"
Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E.     Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G.     DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters,"     and Jon L White.   	?","	?"
Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E.     Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G.     DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters,"     and Jon L White.   	?","	?"
Common Lisp: The Language (Second Edition). By Guy L. Steele Jr., Scott E.     Fahlman, Richard P. Gabriel, David A. Moon, Daniel L. Weinreb, Daniel G. Bobrow, Linda G.     DeMichiel, Sonya E. Keene, Gregor Kiczales, Crispin Perdue, Kent M. Pitman, Richard C. Waters,"     and Jon L White.   	?","	?"
Thrun, S.B., Bala, J., Bloedorn, E., Bratko, I., Cestnink, B., Cheng, J.,     DeJong, K.A.
Thurn, S. B., Bala, J., Bloedorn, E., Bratko, I., Cestnik, B., Cheng, J.,     Jong, K. D.
