col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Immunization for influenza,85,271,The hospital indicated that the data submitted for this measure were based on a sample of cases
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Immunization for pneumonia,91,579,The hospital indicated that the data submitted for this measure were based on a sample of cases
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Immunization for influenza,66,550,The hospital indicated that the data submitted for this measure were based on a sample of cases
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Immunization for pneumonia,80,899,The hospital indicated that the data submitted for this measure were based on a sample of cases
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Immunization for influenza,92,271,The hospital indicated that the data submitted for this measure were based on a sample of cases
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Immunization for pneumonia,95,492,The hospital indicated that the data submitted for this measure were based on a sample of cases
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Immunization for influenza,82,62,The hospital indicated that the data submitted for this measure were based on a sample of cases
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Immunization for pneumonia,82,287,The hospital indicated that the data submitted for this measure were based on a sample of cases
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Immunization for influenza,83,82,The hospital indicated that the data submitted for this measure were based on a sample of cases
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Immunization for pneumonia,79,267,The hospital indicated that the data submitted for this measure were based on a sample of cases
10011,ST VINCENT-S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Immunization for influenza,92,266,The hospital indicated that the data submitted for this measure were based on a sample of cases
